Anr;EAN;Lief;Artikel;Land;IK;V1;V2;MWSt;VK1;eVK;Staffel1;EK-Staffel1;Staffel2;EK-Staffel2;Grundpreis-Einheit;Grundpreis-Faktor
986292;4260284211486;NPG;Deckel für kleine Salatschale;D;;1;50 St;2;5,8;;;;;;;1
986293;4260284211493;NPG;Salatschale groß, unbedruckt;D;;1;50 St;2;9;;;;;;;1
986294;4260284211509;NPG;Deckel für große Salatschale;D;;1;50 St;2;10;;;;;;;1
986306;;NPG;ECHT BIO Hartpapierbecher klei;D;;1;50 St;2;1,7;;;;;;;1
986316;4260284211622;NPG;ECHT BIO Hartpapierbecher mitt;D;;1;50 St;2;2,8;;;;;;;1
986317;4260284211776;NPG;Deckel aus Bagasse für 200ml;D;;1;50 St;2;2,1;;;;;;;1
986326;;NPG;ECHT BIO Hartpapierbecher groß;D;;1;50 St;2;3,3;;;;;;;1
986327;4260284211769;NPG;Deckel aus Bagasse für 300ml;D;;1;50 St;2;2,2;;;;;;;1
986335;4260284211134;NPG;Becher SoupTo Go klein;D;;1;25 St;2;2,8;;;;;;;1
986336;4020713618169;NPG;Becher SoupTo Go groß;D;;1;25 St;2;3;;;;;;;1
986345;;NPG;Deckel für SoupTo Go klein;D;;1;25 St;2;2,1;;;;;;;1
986348;4020713162617;NPG;Deckel für SoupTo Go groß;D;;1;25 St;2;2,3;;;;;;;1
986351;4020713006744;NPG;Pappteller braun klein;A;;1;250 St;2;3,4;;;;;;;1
986352;4020713006683;NPG;Pappteller braun mittel;A;;1;250 St;2;4,5;;;;;;;1
986353;4260284211806;NPG;Pappteller braun groß;A;;1;250 St;2;9,8;;;;;;;1
986365;4260284210250;NPG;ECHT BIO. Servietten Recycling;D;;1;100 St;2;1,7;;;;;;;1
986400;4260284210915;RIW;VB Promotionstand Regional ist;D;;1;Stand;2;0;;;;;;;1
986414;4260284210786;NPG;Regional 1.Wahl Käsepapier 1/8;D;;10;kg;2;2,3;;;;;;;1
986416;;NPG;Käsepapier gewachst 25x37,5cm;D;;12;kg;2;4,9;;;;;;;1
986429;4260284210793;NPG;Regional 1. Wahl Käsepapier1/4;D;;10;kg;2;2,3;;;;;;;1
986434;4260284210816;NPG;Regional Einschlagpapier;D;;10;kg;2;2,55;;;;;;;1
986449;4260284210809;NPG;Regional Rollenpapier, braun;D;;10;kg;2;2,6;;;;;;;1
986454;4260284210823;NPG;Regional Faltenbeutel klein;D;;1;1000 St;2;8,5;;;;;;1St;0,001
986474;4260284210830;NPG;Regional Faltenbeutel mittel;D;;1;1000 St;2;12,2;;;;;;1St;0,001
986494;4260284210847;NPG;Regional Faltenbeutel groß;D;;1;1000 St;2;17,4;;;;;;1St;0,001
986500;;ELK;Fenster Blockbodenbeutel 500g;D;;1;400 St;2;20;;;;;;1St;0,001
986518;4260284210854;NPG;Regional 1. Wahl Obsttüten 1kg;D;;1;500 St;2;7,4;;;;;;;1
986538;4260284210861;NPG;Regional Obsttüten 2kg,70g;D;;1;500 St;2;11;;;;;;;1
986539;4260284211219;NPG;Regional Bodenbeutel groß 5kg;D;;1;250 St;2;13;;;;;;;1
986540;4260284211592;NPG;Regional Blockbodenbeutel;D;;1;100 St;2;22;;;;;;1St;0,01
986541;4260284211226;NPG;Regional 1. Wahl Spitztüte;D;;1;500 St;2;7,9;;;;;;;1
986544;4260284211523;NPG;Regional 1. Wahl Spitztüte kl.;D;;1;250 St;2;2,6;;;;;;;1
986581;4260284210755;NPG;RegionalPapiertragetasche groß;D;;1;250 St;2;39;;;;;;;1
986582;4260284210762;NPG;RegionalPapiertragetasche klei;D;;1;250 St;2;33;;;;;;;1
986591;4260284211202;NPG;Regional-Baumwolltragetasche;D;;1;50 St;2;34;;;;;;;1
986593;4260284211660;EBR;ECHT BIO. Brotbeutel;D;;1;10 St;2;29;;;;;;;1
986594;4260284211745;EBR;ECHT BIO. Zuziehbeutel groß;D;;1;10 St;2;19,8;;;;;;;1
986595;4260284211738;EBR;ECHT BIO. Zuziehbeutel klein;D;;1;10 St;2;16,2;;;;;;;1
986598;4260284210519;EBR;Worauf Sie sich verlassen könn;D;;1;50 St;2;10;;;;;;;1
986617;4260284210601;EBR;ECHT BIO. Chicoréeabdecker;D;##;1;St;2;4,5;;;;;;;1
986618;4260284211851;EBR;ECHT BIO. Kartoffel-Abdecker;D;;1;St;2;4,5;;;;;;;1
986632;4260284210731;RIW;Regional 1.Wahl Kistenschilder;D;;1;10 St;2;6,5;;;;;;;1
986641;4026767000820;EBR;Mehrweg-Eierbox Wegbereiter;D;;1;16 St;2;56;;;;;;;1
986661;4260284211554;NPG;Becherhalter aus Papier;D;;1;300 St;2;33;;;;;;;1
986825;4020713004894;NPG;Verkostungsgabeln;D;;1;100 St;2;4,2;;;;;;;1
986845;4020713004917;NPG;Verkostungslöffel;D;;1;100 St;2;4,2;;;;;;;1
